Filename,Extension,Category,File Size,Duration,Creation Date,Original Path,SHA256,Is Duplicate,Duplicate Of,Lines,Chars,Width,Height,DPI,Mode,Bitrate,Sample Rate
img 24.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 24.py,,False,,646,21938,,,,,,
img 7.py,.py,Code,22.75 KB,,05-10-26,/Users/steven/scripts/clean/img/img 7.py,,False,,687,23301,,,,,,
img 30.py,.py,Code,12.16 KB,,05-10-26,/Users/steven/scripts/clean/img/img 30.py,,False,,430,12449,,,,,,
img 55.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 55.py,,False,,646,21938,,,,,,
img 61.py,.py,Code,22.72 KB,,05-10-26,/Users/steven/scripts/clean/img/img 61.py,,False,,686,23263,,,,,,
img 71.py,.py,Code,6.63 KB,,05-10-26,/Users/steven/scripts/clean/img/img 71.py,,False,,225,6786,,,,,,
img 82.py,.py,Code,22.74 KB,,05-10-26,/Users/steven/scripts/clean/img/img 82.py,,False,,686,23287,,,,,,
img 20.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 20.py,,False,,221,7119,,,,,,
img 92.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 92.py,,False,,222,7120,,,,,,
img 45.py,.py,Code,6.26 KB,,05-10-26,/Users/steven/scripts/clean/img/img 45.py,,False,,176,6407,,,,,,
img 100.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 100.py,,False,,222,7120,,,,,,
img 14.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 14.py,,False,,646,21938,,,,,,
img 99.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 99.py,,False,,646,21938,,,,,,
img 89.py,.py,Code,1.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 89.py,,False,,50,1322,,,,,,
img 8.py,.py,Code,5.46 KB,,05-10-26,/Users/steven/scripts/clean/img/img 8.py,,False,,219,5591,,,,,,
img 104.py,.py,Code,8.88 KB,,05-10-26,/Users/steven/scripts/clean/img/img 104.py,,False,,288,9097,,,,,,
img 101.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 101.py,,False,,222,7120,,,,,,
img 9.py,.py,Code,8.88 KB,,05-10-26,/Users/steven/scripts/clean/img/img 9.py,,False,,288,9097,,,,,,
img 88.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 88.py,,False,,222,7120,,,,,,
img 98.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 98.py,,False,,222,7120,,,,,,
audio 28.py,.py,Code,298.00 B,,05-10-26,/Users/steven/scripts/clean/audio/audio 28.py,,False,,12,298,,,,,,
audio 79.py,.py,Code,7.45 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 79.py,,False,,237,7627,,,,,,
audio 69.py,.py,Code,7.34 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 69.py,,False,,245,7514,,,,,,
audio 5.py,.py,Code,7.42 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 5.py,,False,,246,7602,,,,,,
audio 38.py,.py,Code,298.00 B,,05-10-26,/Users/steven/scripts/clean/audio/audio 38.py,,False,,14,298,,,,,,
audio 18.py,.py,Code,7.29 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 18.py,,False,,243,7462,,,,,,
audio 49.py,.py,Code,2.75 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 49.py,,False,,75,2815,,,,,,
audio 102.py,.py,Code,7.29 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 102.py,,False,,242,7461,,,,,,
audio 4.py,.py,Code,7.20 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 4.py,,False,,230,7373,,,,,,
audio 19.py,.py,Code,7.29 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 19.py,,False,,243,7462,,,,,,
audio 58.py,.py,Code,298.00 B,,05-10-26,/Users/steven/scripts/clean/audio/audio 58.py,,False,,12,298,,,,,,
audio 48.py,.py,Code,6.35 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 48.py,,False,,219,6501,,,,,,
audio 59.py,.py,Code,7.25 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 59.py,,False,,241,7419,,,,,,
audio 103.py,.py,Code,7.20 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 103.py,,False,,232,7375,,,,,,
audio 78.py,.py,Code,7.48 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 78.py,,False,,286,7658,,,,,,
audio 68.py,.py,Code,7.29 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 68.py,,False,,243,7462,,,,,,
audio 29.py,.py,Code,7.19 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 29.py,,False,,230,7360,,,,,,
audio 39.py,.py,Code,298.00 B,,05-10-26,/Users/steven/scripts/clean/audio/audio 39.py,,False,,14,298,,,,,,
audio 22.py,.py,Code,7.29 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 22.py,,False,,243,7462,,,,,,
audio 47.py,.py,Code,298.00 B,,05-10-26,/Users/steven/scripts/clean/audio/audio 47.py,,False,,14,298,,,,,,
audio 16.py,.py,Code,7.29 KB,,05-10-26,/Users/steven/scripts/clean/audio/audio 16.py,,False,,243,7462,,,,,,
