filename,package_manager,location,version
xlrd,pip,unknown,2.0.2
xls2xlsx,pip,unknown,0.2.0
xlsxwriter,pip,unknown,3.2.9
XMind,pip,unknown,1.2.0
xmltodict,pip,unknown,1.0.2
xxhash,pip,unknown,3.6.0
yarl,pip,unknown,1.23.0
youtube-transcript-api,pip,unknown,1.0.3
yt-dlp,pip,unknown,2024.12.23
z3c.flashmessage,pip,unknown,4.0
z3c.pt,pip,unknown,5.1
zc.catalog,pip,unknown,5.0
zc.lockfile,pip,unknown,4.0
ZConfig,pip,unknown,4.3
zdaemon,pip,unknown,5.2.1
zipp,pip,unknown,3.23.1
ZODB,pip,unknown,6.1
zodbpickle,pip,unknown,4.3
zope.annotation,pip,unknown,6.0
zope.app.appsetup,pip,unknown,6.0
zope.app.publication,pip,unknown,6.0
zope.app.wsgi,pip,unknown,6.0
zope.authentication,pip,unknown,6.0
zope.browser,pip,unknown,4.0
zope.browserpage,pip,unknown,6.0
zope.browserresource,pip,unknown,6.0
zope.cachedescriptors,pip,unknown,6.0
zope.catalog,pip,unknown,6.0
zope.component,pip,unknown,7.0
zope.configuration,pip,unknown,7.0
zope.container,pip,unknown,7.2
zope.contentprovider,pip,unknown,7.0
zope.contenttype,pip,unknown,6.0
zope.datetime,pip,unknown,6.0
zope.deferredimport,pip,unknown,6.0
zope.deprecation,pip,unknown,6.0
zope.dottedname,pip,unknown,7.0
zope.error,pip,unknown,6.0
zope.errorview,pip,unknown,3.0
zope.event,pip,unknown,6.1
zope.exceptions,pip,unknown,6.0
zope.filerepresentation,pip,unknown,7.0
zope.formlib,pip,unknown,7.0
zope.generations,pip,unknown,7.0
zope.hookable,pip,unknown,8.2
zope.i18n,pip,unknown,6.0
zope.i18nmessageid,pip,unknown,8.2
zope.index,pip,unknown,8.1
zope.interface,pip,unknown,8.1.1
zope.intid,pip,unknown,6.0
zope.keyreference,pip,unknown,7.0
zope.lifecycleevent,pip,unknown,6.0
zope.location,pip,unknown,6.0
zope.login,pip,unknown,4.0
zope.minmax,pip,unknown,4.0
zope.pagetemplate,pip,unknown,6.1
zope.password,pip,unknown,6.1
zope.principalregistry,pip,unknown,6.0
zope.processlifetime,pip,unknown,4.0
zope.proxy,pip,unknown,7.1
zope.ptresource,pip,unknown,6.0
zope.publisher,pip,unknown,8.0
zope.schema,pip,unknown,8.1
zope.security,pip,unknown,8.3
zope.securitypolicy,pip,unknown,6.0
zope.session,pip,unknown,6.0
zope.site,pip,unknown,6.0
zope.size,pip,unknown,6.0
zope.tal,pip,unknown,6.0
zope.tales,pip,unknown,7.0
zope.testing,pip,unknown,6.0
zope.traversing,pip,unknown,6.0
zope.viewlet,pip,unknown,6.0
zstandard,pip,unknown,0.25.0
